agent;timestep;action;position;direction;status
0;0;wait;None;1;waiting
0;1;move_forward;None;1;ready to depart
0;2;move_forward;(5, 5);1;moving
0;3;move_forward;(5, 6);1;moving
0;4;move_forward;(5, 7);1;moving
0;5;move_forward;(5, 8);1;moving
0;6;move_forward;(5, 9);1;moving
0;7;move_forward;(6, 9);2;moving
0;8;move_forward;(7, 9);2;moving
0;9;move_forward;(8, 9);2;moving
0;10;move_right;(9, 9);2;moving
0;11;move_forward;(9, 8);3;moving
0;12;move_forward;(9, 7);3;moving
0;13;move_forward;(9, 6);3;moving
0;14;move_forward;(9, 5);3;moving
0;15;move_forward;(10, 5);2;moving
0;16;move_forward;(11, 5);2;moving
0;17;move_forward;(12, 5);2;moving
0;18;move_forward;(13, 5);2;moving
0;19;move_forward;(14, 5);2;moving
0;20;move_forward;(15, 5);2;moving
0;21;move_forward;(16, 5);2;moving
0;22;move_forward;(17, 5);2;moving
0;23;move_forward;(18, 5);2;moving
0;24;move_forward;(19, 5);2;moving
0;25;move_forward;(20, 5);2;moving
0;26;move_forward;(21, 5);2;moving
0;27;move_forward;(22, 5);2;moving
0;28;move_forward;(23, 5);2;moving
0;29;move_forward;(24, 5);2;moving
0;30;move_forward;(25, 5);2;moving
0;31;move_forward;(26, 5);2;moving
0;32;move_forward;(27, 5);2;moving
0;33;move_forward;(28, 5);2;moving
0;34;move_left;(29, 5);2;moving
0;35;move_forward;(29, 6);1;moving
0;36;move_forward;(30, 6);2;moving
1;0;wait;None;0;waiting
1;1;wait;None;0;waiting
1;2;wait;None;0;ready to depart
1;3;move_forward;None;0;ready to depart
1;4;move_forward;(31, 5);0;moving
1;5;move_forward;(30, 5);0;moving
1;6;move_forward;(29, 5);0;moving
1;7;move_forward;(28, 5);0;moving
1;8;move_right;(27, 5);0;moving
1;9;move_forward;(27, 6);1;moving
1;10;move_forward;(27, 7);1;moving
1;11;move_forward;(27, 8);1;moving
1;12;move_forward;(26, 8);0;moving
1;13;move_forward;(25, 8);0;moving
1;14;move_forward;(24, 8);0;moving
1;15;move_forward;(23, 8);0;moving
1;16;move_forward;(22, 8);0;moving
1;17;move_forward;(21, 8);0;moving
1;18;move_forward;(20, 8);0;moving
1;19;move_forward;(19, 8);0;moving
1;20;move_forward;(18, 8);0;moving
1;21;move_forward;(17, 8);0;moving
1;22;move_forward;(16, 8);0;moving
1;23;move_forward;(15, 8);0;moving
1;24;move_forward;(14, 8);0;moving
1;25;move_forward;(13, 8);0;moving
1;26;move_forward;(12, 8);0;moving
1;27;move_forward;(11, 8);0;moving
1;28;move_forward;(10, 8);0;moving
1;29;move_forward;(9, 8);0;moving
1;30;move_forward;(9, 9);1;moving
1;31;move_forward;(8, 9);0;moving
1;32;move_forward;(7, 9);0;moving
1;33;move_forward;(6, 9);0;moving
1;34;move_forward;(5, 9);0;moving
1;35;move_forward;(5, 8);3;moving
1;36;move_left;(5, 7);3;moving
1;37;move_forward;(6, 7);2;moving
1;38;move_forward;(6, 6);3;moving
