agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;nothing
1;0;None;e;waiting;nothing
2;0;None;s;waiting;nothing
3;0;None;e;waiting;nothing
4;0;None;n;waiting;nothing
5;0;None;w;waiting;nothing
6;0;None;s;waiting;nothing
7;0;None;n;waiting;nothing
8;0;None;s;waiting;nothing
9;0;None;n;waiting;nothing
0;1;None;s;waiting;nothing
1;1;None;e;waiting;nothing
2;1;None;s;waiting;nothing
3;1;None;e;waiting;nothing
4;1;None;n;waiting;nothing
5;1;None;w;waiting;nothing
6;1;None;s;waiting;nothing
7;1;None;n;waiting;nothing
8;1;None;s;waiting;nothing
9;1;None;n;waiting;nothing
0;2;None;s;waiting;nothing
1;2;None;e;waiting;nothing
2;2;None;s;waiting;nothing
3;2;None;e;waiting;nothing
4;2;None;n;waiting;nothing
5;2;None;w;waiting;nothing
6;2;None;s;waiting;nothing
7;2;None;n;waiting;nothing
8;2;None;s;waiting;nothing
9;2;None;n;waiting;nothing
0;3;None;s;waiting;nothing
1;3;None;e;waiting;nothing
2;3;None;s;waiting;nothing
3;3;None;e;waiting;nothing
4;3;None;n;waiting;nothing
5;3;None;w;waiting;nothing
6;3;None;s;waiting;nothing
7;3;None;n;waiting;nothing
8;3;None;s;waiting;nothing
9;3;None;n;waiting;nothing
0;4;None;s;waiting;nothing
1;4;None;e;waiting;nothing
2;4;None;s;waiting;nothing
3;4;None;e;waiting;nothing
4;4;None;n;waiting;nothing
5;4;None;w;waiting;nothing
6;4;None;s;waiting;nothing
7;4;None;n;waiting;nothing
8;4;None;s;waiting;nothing
9;4;None;n;ready to depart;nothing
0;5;None;s;waiting;nothing
1;5;None;e;waiting;nothing
2;5;None;s;waiting;nothing
3;5;None;e;waiting;nothing
4;5;None;n;waiting;nothing
5;5;None;w;waiting;nothing
6;5;None;s;waiting;nothing
7;5;None;n;waiting;nothing
8;5;None;s;waiting;nothing
9;5;None;n;ready to depart;nothing
0;6;None;s;waiting;nothing
1;6;None;e;waiting;nothing
2;6;None;s;ready to depart;move_forward
3;6;None;e;waiting;nothing
4;6;None;n;waiting;nothing
5;6;None;w;waiting;nothing
6;6;None;s;waiting;nothing
7;6;None;n;waiting;nothing
8;6;None;s;waiting;nothing
9;6;None;n;ready to depart;nothing
0;7;None;s;waiting;nothing
1;7;None;e;waiting;nothing
2;7;(12, 32);s;moving;wait
3;7;None;e;waiting;nothing
4;7;None;n;waiting;nothing
5;7;None;w;waiting;nothing
6;7;None;s;waiting;nothing
7;7;None;n;ready to depart;move_forward
8;7;None;s;waiting;nothing
9;7;None;n;ready to depart;nothing
0;8;None;s;waiting;nothing
1;8;None;e;waiting;nothing
2;8;(12, 32);s;stopped;wait
3;8;None;e;waiting;nothing
4;8;None;n;waiting;nothing
5;8;None;w;waiting;nothing
6;8;None;s;waiting;nothing
7;8;(25, 34);n;moving;wait
8;8;None;s;ready to depart;move_forward
9;8;None;n;ready to depart;nothing
0;9;None;s;waiting;nothing
1;9;None;e;waiting;nothing
2;9;(12, 32);s;stopped;wait
3;9;None;e;waiting;nothing
4;9;None;n;waiting;nothing
5;9;None;w;waiting;nothing
6;9;None;s;waiting;nothing
7;9;(25, 34);n;stopped;wait
8;9;(42, 36);s;moving;move_forward
9;9;None;n;ready to depart;nothing
0;10;None;s;waiting;nothing
1;10;None;e;waiting;nothing
2;10;(12, 32);s;stopped;wait
3;10;None;e;waiting;nothing
4;10;None;n;waiting;nothing
5;10;None;w;waiting;nothing
6;10;None;s;waiting;nothing
7;10;(25, 34);n;stopped;wait
8;10;(43, 36);s;moving;move_forward
9;10;None;n;ready to depart;nothing
0;11;None;s;waiting;nothing
1;11;None;e;waiting;nothing
2;11;(12, 32);s;stopped;wait
3;11;None;e;waiting;nothing
4;11;None;n;waiting;nothing
5;11;None;w;waiting;nothing
6;11;None;s;waiting;nothing
7;11;(25, 34);n;stopped;wait
8;11;(44, 36);s;moving;move_forward
9;11;None;n;ready to depart;nothing
0;12;None;s;waiting;nothing
1;12;None;e;waiting;nothing
2;12;(12, 32);s;stopped;wait
3;12;None;e;waiting;nothing
4;12;None;n;waiting;nothing
5;12;None;w;waiting;nothing
6;12;None;s;waiting;nothing
7;12;(25, 34);n;stopped;move_forward
8;12;(45, 36);s;moving;move_forward
9;12;None;n;ready to depart;nothing
0;13;None;s;ready to depart;move_forward
1;13;None;e;waiting;nothing
2;13;(12, 32);s;stopped;wait
3;13;None;e;ready to depart;move_forward
4;13;None;n;waiting;nothing
5;13;None;w;waiting;nothing
6;13;None;s;waiting;nothing
7;13;(24, 34);n;moving;move_forward
8;13;(46, 36);s;moving;move_right
9;13;None;n;ready to depart;nothing
0;14;(30, 8);s;moving;move_forward
1;14;None;e;waiting;nothing
2;14;(12, 32);s;stopped;wait
3;14;(16, 17);e;moving;move_forward
4;14;None;n;waiting;nothing
5;14;None;w;waiting;nothing
6;14;None;s;waiting;nothing
7;14;(23, 34);n;moving;move_forward
8;14;(46, 35);w;moving;move_forward
9;14;None;n;ready to depart;nothing
0;15;(31, 8);s;moving;move_forward
1;15;None;e;waiting;nothing
2;15;(12, 32);s;stopped;wait
3;15;(16, 18);e;moving;move_forward
4;15;None;n;waiting;nothing
5;15;None;w;waiting;nothing
6;15;None;s;waiting;nothing
7;15;(22, 34);n;moving;wait
8;15;(46, 34);w;moving;move_forward
9;15;None;n;ready to depart;nothing
0;16;(32, 8);s;moving;move_forward
1;16;None;e;waiting;nothing
2;16;(12, 32);s;stopped;wait
3;16;(16, 19);e;moving;move_forward
4;16;None;n;waiting;nothing
5;16;None;w;waiting;nothing
6;16;None;s;waiting;nothing
7;16;(22, 34);n;stopped;wait
8;16;(46, 33);w;moving;move_forward
9;16;None;n;ready to depart;nothing
0;17;(33, 8);s;moving;move_forward
1;17;None;e;waiting;nothing
2;17;(12, 32);s;stopped;wait
3;17;(16, 20);e;moving;move_forward
4;17;None;n;waiting;nothing
5;17;None;w;waiting;nothing
6;17;None;s;waiting;nothing
7;17;(22, 34);n;stopped;wait
8;17;(46, 32);w;moving;move_forward
9;17;None;n;ready to depart;nothing
0;18;(34, 8);s;moving;move_left
1;18;None;e;waiting;nothing
2;18;(12, 32);s;stopped;wait
3;18;(16, 21);e;moving;move_forward
4;18;None;n;waiting;nothing
5;18;None;w;waiting;nothing
6;18;None;s;waiting;nothing
7;18;(22, 34);n;stopped;wait
8;18;(46, 31);w;moving;move_forward
9;18;None;n;ready to depart;nothing
0;19;(34, 9);e;moving;move_forward
1;19;None;e;waiting;nothing
2;19;(12, 32);s;stopped;wait
3;19;(16, 22);e;moving;move_forward
4;19;None;n;waiting;nothing
5;19;None;w;waiting;nothing
6;19;None;s;waiting;nothing
7;19;(22, 34);n;stopped;move_forward
8;19;(46, 30);w;moving;move_forward
9;19;None;n;ready to depart;move_forward
0;20;(34, 10);e;moving;move_forward
1;20;None;e;waiting;nothing
2;20;(12, 32);s;stopped;wait
3;20;(16, 23);e;moving;move_forward
4;20;None;n;ready to depart;move_forward
5;20;None;w;waiting;nothing
6;20;None;s;waiting;nothing
7;20;(21, 34);n;moving;wait
8;20;(46, 29);w;moving;move_forward
9;20;(25, 34);n;moving;move_forward
0;21;(34, 11);e;moving;move_forward
1;21;None;e;waiting;nothing
2;21;(12, 32);s;stopped;wait
3;21;(16, 24);e;moving;move_forward
4;21;(42, 36);n;moving;move_forward
5;21;None;w;waiting;nothing
6;21;None;s;waiting;nothing
7;21;(21, 34);n;stopped;move_forward
8;21;(46, 28);w;moving;move_forward
